store_no	store_name	county	address	n_id
2071	道生	台北市	信義區東興路57號	A
297567	宏泰	台北市	信義區松仁路91-1號1樓	B
24307	美河	新北市	新店區三民路35巷2號	C
400119	超全	高雄市	鳳山區海洋一路31號	D
563167	陽光城	台南市	善化區陽光大道198號	E
